,team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,quarter,game_id,event_id,x_loc_original,y_loc_original,speed
76,TOR,Luis Scola,115.483,135.012,0.000,711.020,11.850,1,21500492,1,18.251,13.452,3.626
77,CHA,Marvin Williams,36.248,75.622,0.000,710.980,11.830,1,21500492,1,12.312,21.375,5.148
78,CHA,PJ Hairston,-111.741,78.470,0.000,710.980,11.830,1,21500492,1,12.597,36.174,10.993
79,CHA,Cody Zeller,-81.436,119.282,0.000,710.980,11.830,1,21500492,1,16.678,33.144,1.680
80,CHA,Kemba Walker,-159.371,171.578,0.000,710.980,11.830,1,21500492,1,21.908,40.937,11.029
81,CHA,Nicolas Batum,61.048,34.455,0.000,710.980,11.830,1,21500492,1,8.196,18.895,2.901
82,ball,ball,-177.094,216.916,2.184,710.980,11.830,1,21500492,1,26.442,42.709,7.078
83,TOR,Jonas Valanciunas,-109.524,171.201,0.000,710.980,11.830,1,21500492,1,21.870,35.952,6.214
84,TOR,DeMar DeRozan,-118.012,55.732,0.000,710.980,11.830,1,21500492,1,10.323,36.801,15.461
85,TOR,Kyle Lowry,-178.901,192.794,0.000,710.980,11.830,1,21500492,1,24.029,42.890,14.506
86,TOR,DeMarre Carroll,104.694,42.030,0.000,710.980,11.830,1,21500492,1,8.953,14.531,5.335
87,TOR,Luis Scola,116.088,133.774,0.000,710.980,11.830,1,21500492,1,18.127,13.391,3.444
88,CHA,PJ Hairston,-109.803,75.008,0.000,710.940,11.810,1,21500492,1,12.251,35.980,9.919
89,CHA,Cody Zeller,-82.550,119.635,0.000,710.940,11.810,1,21500492,1,16.714,33.255,2.921
90,CHA,Kemba Walker,-156.892,175.308,0.000,710.940,11.810,1,21500492,1,22.281,40.689,11.196
91,CHA,Nicolas Batum,61.236,33.303,0.000,710.940,11.810,1,21500492,1,8.080,18.876,2.917
92,CHA,Marvin Williams,38.117,74.856,0.000,710.940,11.810,1,21500492,1,12.236,21.188,5.050
93,TOR,Jonas Valanciunas,-111.974,173.407,0.000,710.940,11.810,1,21500492,1,22.091,36.197,8.241
94,TOR,DeMar DeRozan,-114.177,50.860,0.000,710.940,11.810,1,21500492,1,9.836,36.418,15.502
95,TOR,Kyle Lowry,-175.928,198.020,0.000,710.940,11.810,1,21500492,1,24.552,42.593,15.031
96,TOR,DeMarre Carroll,103.579,40.334,0.000,710.940,11.810,1,21500492,1,8.783,14.642,5.074
97,TOR,Luis Scola,116.699,132.528,0.000,710.940,11.810,1,21500492,1,18.003,13.330,3.468
98,ball,ball,-174.584,220.132,2.695,710.940,11.810,1,21500492,1,26.763,42.458,10.199
99,CHA,Marvin Williams,39.974,74.199,0.000,710.900,11.780,1,21500492,1,12.170,21.003,4.924
100,CHA,PJ Hairston,-108.025,71.880,0.000,710.900,11.780,1,21500492,1,11.938,35.802,8.995
101,CHA,Cody Zeller,-84.217,120.131,0.000,710.900,11.780,1,21500492,1,16.763,33.422,4.348
102,CHA,Kemba Walker,-154.001,178.996,0.000,710.900,11.780,1,21500492,1,22.650,40.400,11.715
103,CHA,Nicolas Batum,61.365,32.161,0.000,710.900,11.780,1,21500492,1,7.966,18.864,2.874
104,TOR,DeMarre Carroll,102.542,38.737,0.000,710.900,11.780,1,21500492,1,8.624,14.746,4.762
