,event_id,team1_id,team2_id,game_clock,ball_x_loc,ball_y_loc,team1_player1,team1_player1_x_loc,team1_player1_y_loc,team1_player2,team1_player2_x_loc,team1_player2_y_loc,team1_player3,team1_player3_x_loc,team1_player3_y_loc,team1_player4,team1_player4_x_loc,team1_player4_y_loc,team1_player5,team1_player5_x_loc,team1_player5_y_loc,team2_player1,team2_player1_x_loc,team2_player1_y_loc,team2_player2,team2_player2_x_loc,team2_player2_y_loc,team2_player3,team2_player3_x_loc,team2_player3_y_loc,team2_player4,team2_player4_x_loc,team2_player4_y_loc,team2_player5,team2_player5_x_loc,team2_player5_y_loc,ball_speed,team1_player1_speed,team1_player2_speed,team1_player3_speed,team1_player4_speed,team1_player5_speed,team2_player1_speed,team2_player2_speed,team2_player3_speed,team2_player4_speed,team2_player5_speed
21,1.000,TOR,CHA,710.420,31.084,37.339,Luis Scola,16.477,13.149,DeMarre Carroll,7.496,16.593,Kyle Lowry,29.680,36.955,DeMar DeRozan,5.167,30.346,Jonas Valanciunas,23.866,37.823,Marvin Williams,12.643,19.701,Nicolas Batum,6.940,18.700,Kemba Walker,26.213,35.850,Cody Zeller,17.364,34.601,PJ Hairston,8.480,32.535,7.704,3.166,4.175,14.221,13.070,1.511,1.972,1.509,12.056,3.693,11.432
22,1.000,TOR,CHA,710.380,31.347,37.019,Luis Scola,16.354,13.167,DeMarre Carroll,7.468,16.752,Kyle Lowry,30.010,36.489,DeMar DeRozan,4.905,29.836,Jonas Valanciunas,23.901,37.860,Marvin Williams,12.697,19.650,Nicolas Batum,6.902,18.748,Kemba Walker,26.412,35.400,Cody Zeller,17.407,34.751,PJ Hairston,8.239,32.166,10.354,3.114,4.026,14.276,14.325,1.291,1.868,1.539,12.289,3.912,11.006
23,1.000,TOR,CHA,710.340,31.659,36.672,Luis Scola,16.229,13.187,DeMarre Carroll,7.442,16.909,Kyle Lowry,30.309,36.002,DeMar DeRozan,4.651,29.305,Jonas Valanciunas,23.935,37.886,Marvin Williams,12.752,19.600,Nicolas Batum,6.881,18.820,Kemba Walker,26.596,34.942,Cody Zeller,17.445,34.851,PJ Hairston,8.017,31.835,11.649,3.158,3.968,14.281,14.716,1.062,1.850,1.858,12.352,2.674,9.962
24,1.000,TOR,CHA,710.300,31.907,36.190,Luis Scola,16.101,13.204,DeMarre Carroll,7.422,17.057,Kyle Lowry,30.594,35.520,DeMar DeRozan,4.399,28.717,Jonas Valanciunas,23.977,37.917,Marvin Williams,12.802,19.547,Nicolas Batum,6.871,18.898,Kemba Walker,26.770,34.494,Cody Zeller,17.478,34.903,PJ Hairston,7.802,31.520,13.574,3.226,3.748,13.988,15.992,1.298,1.821,1.968,12.008,1.533,9.536
25,1.000,TOR,CHA,710.260,32.203,35.782,Luis Scola,15.971,13.217,DeMarre Carroll,7.414,17.202,Kyle Lowry,30.837,35.034,DeMar DeRozan,4.196,28.201,Jonas Valanciunas,24.018,37.966,Marvin Williams,12.854,19.498,Nicolas Batum,6.877,18.987,Kemba Walker,26.932,34.049,Cody Zeller,17.508,35.013,PJ Hairston,7.603,31.117,12.582,3.281,3.630,13.599,13.869,1.590,1.777,2.246,11.858,2.844,11.258
26,1.000,TOR,CHA,710.220,32.233,35.188,Luis Scola,15.842,13.234,DeMarre Carroll,7.396,17.307,Kyle Lowry,31.073,34.587,DeMar DeRozan,4.012,27.634,Jonas Valanciunas,24.049,37.988,Marvin Williams,12.880,19.406,Nicolas Batum,6.883,19.077,Kemba Walker,27.071,33.612,Cody Zeller,17.536,35.127,PJ Hairston,7.412,30.691,14.873,3.245,2.676,12.624,14.901,0.952,2.388,2.241,11.436,2.938,11.647
27,1.000,TOR,CHA,710.180,32.581,34.658,Luis Scola,15.708,13.245,DeMarre Carroll,7.372,17.410,Kyle Lowry,31.378,34.117,DeMar DeRozan,3.860,27.075,Jonas Valanciunas,24.084,37.980,Marvin Williams,12.885,19.258,Nicolas Batum,6.900,19.195,Kemba Walker,27.203,33.172,Cody Zeller,17.559,35.244,PJ Hairston,7.215,30.276,15.866,3.363,2.620,13.997,14.488,0.897,3.710,2.996,11.500,2.976,11.507
28,1.000,TOR,CHA,710.140,32.868,33.974,Luis Scola,15.569,13.251,DeMarre Carroll,7.328,17.453,Kyle Lowry,31.608,33.603,DeMar DeRozan,3.720,26.485,Jonas Valanciunas,24.124,37.942,Marvin Williams,12.888,19.135,Nicolas Batum,6.930,19.310,Kemba Walker,27.328,32.722,Cody Zeller,17.573,35.357,PJ Hairston,7.062,29.884,18.542,3.488,1.552,14.088,15.147,1.371,3.081,2.963,11.663,2.853,10.506
29,1.000,TOR,CHA,710.100,32.915,33.197,Luis Scola,15.431,13.258,DeMarre Carroll,7.283,17.485,Kyle Lowry,31.828,33.092,DeMar DeRozan,3.584,25.854,Jonas Valanciunas,24.154,37.938,Marvin Williams,12.879,19.016,Nicolas Batum,6.982,19.439,Kemba Walker,27.454,32.287,Cody Zeller,17.579,35.464,PJ Hairston,6.921,29.540,19.445,3.448,1.372,13.912,16.148,0.771,2.974,3.491,11.345,2.678,9.298
30,1.000,TOR,CHA,710.060,33.063,32.391,Luis Scola,15.289,13.268,DeMarre Carroll,7.254,17.484,Kyle Lowry,31.979,32.574,DeMar DeRozan,3.452,25.198,Jonas Valanciunas,24.135,37.924,Marvin Williams,12.869,18.955,Nicolas Batum,7.041,19.571,Kemba Walker,27.581,31.841,Cody Zeller,17.575,35.559,PJ Hairston,6.790,29.186,20.500,3.550,0.740,13.484,16.727,0.601,1.549,3.605,11.583,2.382,9.446
